shopID,shopname,address,telephone,open_time,close_time,WIFI,socket,time_limit,minimum_order
1,小公寓,台北市文山區指南路二段2樓56號,(02) 2939-2790,11:00,21:00,有,有,有,有
2,惜惜咖啡,台北市文山區秀明路二段112巷19號,(02) 2937-7617,9:00,18:00,有,有,無,有
3,Ruins Coffee Roasters,台北市文山區木柵路三段242號,(02) 2234-0024,13:00,21:00,有,有,無,有
4,Backstage Caf?,台北市大安區羅斯福路四段1號台大綜合體育館 2樓,(02) 2362-1170,12:00,20:00,有,有,無,有
5,Rebirth cafe心，聚點,台北市文山區木柵路二段62號,(02) 2936-1182,10:30,19:30,有,有,無,有
6,躲貓貓 Third Floor Caf?,台北市文山區興隆路四段57巷1-2號,(02) 2911-2395,10:00,18:00,有,有,無,有
7,Coffee Woodrow 伍拙咖啡,台北市信義區崇德街10號,(09) 1058-5552,10:30,20:00,有,有,無,有
8,草泥 caf?,台北市大安區樂業街17號,(02) 2736-2567,11:30,21:00,有,有,有,有
9,Strange Brew Coffe Roster 怪咖啡自家烘焙,台北市大安區安居街108巷20號1樓,(02) 2738-9353,18:00,22:00,有,有,無,有
10,老木咖啡,台北市大安區和平東路三段119巷11號,(02) 2735-6158,12:00,21:30,有,有,無,有
11,咖啡瑪榭中山店,台北市中山區中山北路二段16巷15號ㄧ樓,(02) 2567-9077,11:30,21:00,有,有,無,有
12,伴鹿咖啡DeerFriend Caf?,台北市大安區敦化南路二段203號,(02) 2378-6666,11:00,21:30,有,有,無,有
13,Vinyl Decision 黑膠咖啡,台北市中正區八德路一段一號華山文創園區紅磚區西7-4館,(02) 2327-8136,12:00,21:00,有,有,無,有
14,PearNature 梨本咖啡,台北市大安區安居街34巷6號,(02) 2377-5807,9:30,20:00,有,有,無,有
15,光孚空間,台北市大安區基隆路二段132巷15號,(02) 2732-1299,12:00,20:00,無,有,無,有
16,這間咖啡,台北市大安區信義路四段30巷39號,(02) 2755-1288,14:00,0:00:00,有,有,無,有
17,A N G L E,台北市大安區瑞安街206號,(02) 2706-6672,13:00,22:00,有,有,無,有
18,小南通咖啡,台北市大安區和平東路二段175巷24號1樓,(02) 2704-6608,11:30,20:00,無,無,有,有
19,4Mano Caff?,台北市大安區復興南路二段65-1號,(02) 2707-1356,12:30,21:30,有,無,有,有
20,杯盃 PuiBui Cafe,台北市大安區信義路四段30巷48號,(02) 2700-9082,12:00,22:00,有,有,無,有
21,淡水長堤咖啡餐館LB Cafe,新北市淡水區中正路21巷9號,(02)26222652,11:00,23:00,無,無,無,有
22,淡水紅樓咖啡廳,新北市淡水區三民街2巷6號3樓,(02)26250888,12:00,21:00,有,無,無,有
23,Binma Area 134,新北市淡水區北新路三段134號,(02)26236351,11:00,19:00,有,無,有,有
24,空兩格復古咖啡館keeptwoblanks,新北市淡水區中山路90巷20號,(02)26212995,14:00,20:00,有,有,有,有
25,安克黑咖啡,新北市淡水區中正路233-3號2樓,(02)26260336,12:00,20:00,有,無,有,無
26,白水 cafe restaurant,新北市淡水區長興街46號,(02)26253003,10:30,20:00,有,無,有,有
27,沒有特別計畫cafe,新北市淡水區中山北路一段207巷37弄1號,(02)26265538,13:00,19:00,有,有,有,有
28,天使熱愛生活,新北市淡水區中山路233之一號,(02)86312928,14:00,0:00:00,有,有,有,有
29,Coffee Boom,新北市淡水區中山北路二段381巷117號,(02)26256869,13:00,18:00,有,有,有,無
30,暇俵咖啡,新北市淡水區學府路51巷3弄7號,(09) 3651-6989,10:00,19:00,有,有,有,有
31,Instil Coffee Dimension,台北市大安區復興南路二段,(09) 0666-3176,8:00,18:00,有,有,無,有
32,彼得好咖啡,台北市大安區信義路三段170號,(02) 2700-0234,7:00,17:00,有,有,無,有
33,Bros Coffee,台北市大安區復興南路一段321號,(02) 2704-9464,7:30,17:00,無,有,無,有
34,Homey's cafe,台北市大安區敦化南路一段236巷36號騷豆花樓上2樓,(02) 2711-1519,12:00,23:00,有,有,無,有
35,fly caf?,台北市大安區敦化南路一段295巷4號,(02) 2784-6899,12:00,18:00,有,有,有,有
36,有kaffe冇,台北市大安區信義路三段147巷36弄24號,(09) 3103-1041,11:00,17:00,有,有,無,有
37,rufous coffee,台北市大安區復興南路二段339號,(02) 2736-6880,12:00,20:00,有,有,無,有
38,The Quiet Light 默光咖啡,台北市大安區瑞安街262-2號,(02) 2701-2091,7:30,17:00,有,有,無,有
39,喜鵲咖啡,台北市大安區羅斯福路三段269巷74號,(02) 2362-8690,13:00,22:00,有,有,無,有
40,靈感咖啡 Vegan Coffee Shop,台北市大安區新生南路三段84-6號號3樓,(02) 2363-1371,11:00,19:00,有,有,無,有
41,那裡的咖啡店 The place,新北市板橋區東門街1-2號,(02)22722028,10:00,19:00,有,有,有,有
42,Merci cafe,新北市板橋區新民街7巷17號,(02)89533906,9:00,21:00,有,有,有,有
43,稼咖啡Jia Cafe Co-working space ,新北市板橋區民族路129巷10號,(02)29549699,11:00,21:00,有,有,有,無
44,Cafe note,新北市板橋區文化路二段182巷3弄99號,(02)22550252,12:00,19:00,有,有,有,有
45,Merci vielle,新北市板橋區府中路50號2樓,(02)89653906,13:00,22:00,有,有,有,有
46,Percent CAFE %,新北市板橋區仁化街67號,(02)22593293,11:00,21:00,有,有,有,無
47,陋室咖啡 ROAST COFFEE,新北市板橋區民有街63號,(02)82513317,12:00,18:00,有,有,有,無
48,恬秘密微醺咖啡館,新北市板橋區文化路一段45巷8號,(09) 6533-8862,11:30,0:00:00,有,有,有,無
49,COFFeee早午餐咖啡,新北市板橋區館前東路39號,(02)29582272,10:00,21:00,有,有,有,無
50,當樂咖啡,新北市板橋區光正街40號,(02)29680705,11:00,18:00,有,有,有,無
51,香投咖啡 Sanntou Cafe,台北市內湖區內湖路二段336號,(02)27932889,10:00,18:00,有,無,有,有
52,河流咖啡 RIVER COFFEE,台北市內湖區內湖路二段239號,?02 2794 0239,9:00,22:00,有,無,有,有
